Codigo;Min;Max;Descricao
INI059;0;0;Quantidade de Humanos Infectados Jovem Masculino Livre
INI060;0;0;Quantidade de Humanos Recuperados Jovem Masculino Livre
INI061;57;57;Quantidade de Humanos Suscetiveis Jovem Masculino Trajeto
INI062;0;0;Quantidade de Humanos Expostos Jovem Masculino Trajeto
INI063;0;0;Quantidade de Humanos Infectados Jovem Masculino Trajeto
INI064;0;0;Quantidade de Humanos Recuperados Jovem Masculino Trajeto
INI065;175;175;Quantidade de Humanos Suscetiveis Adulto Masculino Local
INI066;0;0;Quantidade de Humanos Expostos Adulto Masculino Local
INI067;0;0;Quantidade de Humanos Infectados Adulto Masculino Local
INI068;0;0;Quantidade de Humanos Recuperados Adulto Masculino Local
INI069;224;224;Quantidade de Humanos Suscetiveis Adulto Masculino Aleatorio
INI070;0;0;Quantidade de Humanos Expostos Adulto Masculino Aleatorio
INI071;0;0;Quantidade de Humanos Infectados Adulto Masculino Aleatorio
INI072;0;0;Quantidade de Humanos Recuperados Adulto Masculino Aleatorio
INI073;97;97;Quantidade de Humanos Suscetiveis Adulto Masculino Livre
INI074;0;0;Quantidade de Humanos Expostos Adulto Masculino Livre
INI075;0;0;Quantidade de Humanos Infectados Adulto Masculino Livre
INI076;0;0;Quantidade de Humanos Recuperados Adulto Masculino Livre
INI077;115;115;Quantidade de Humanos Suscetiveis Adulto Masculino Trajeto
INI078;0;0;Quantidade de Humanos Expostos Adulto Masculino Trajeto
INI079;0;0;Quantidade de Humanos Infectados Adulto Masculino Trajeto
INI080;0;0;Quantidade de Humanos Recuperados Adulto Masculino Trajeto
INI081;49;49;Quantidade de Humanos Suscetiveis Idoso Masculino Local
INI082;0;0;Quantidade de Humanos Expostos Idoso Masculino Local
INI083;0;0;Quantidade de Humanos Infectados Idoso Masculino Local
INI084;0;0;Quantidade de Humanos Recuperados Idoso Masculino Local
INI085;49;49;Quantidade de Humanos Suscetiveis Idoso Masculino Aleatorio
INI086;0;0;Quantidade de Humanos Expostos Idoso Masculino Aleatorio
INI087;0;0;Quantidade de Humanos Infectados Idoso Masculino Aleatorio
INI088;0;0;Quantidade de Humanos Recuperados Idoso Masculino Aleatorio
INI089;15;15;Quantidade de Humanos Suscetiveis Idoso Masculino Livre
INI090;0;0;Quantidade de Humanos Expostos Idoso Masculino Livre
INI091;0;0;Quantidade de Humanos Infectados Idoso Masculino Livre
INI092;0;0;Quantidade de Humanos Recuperados Idoso Masculino Livre
INI093;15;15;Quantidade de Humanos Suscetiveis Idoso Masculino Trajeto
INI094;0;0;Quantidade de Humanos Expostos Idoso Masculino Trajeto
INI095;0;0;Quantidade de Humanos Infectados Idoso Masculino Trajeto
INI096;0;0;Quantidade de Humanos Recuperados Idoso Masculino Trajeto
INI097;91;91;Quantidade de Humanos Suscetiveis Bebe Feminino Local
INI098;0;0;Quantidade de Humanos Expostos Bebe Feminino Local
INI099;0;0;Quantidade de Humanos Infectados Bebe Feminino Local
INI100;0;0;Quantidade de Humanos Recuperados Bebe Feminino Local
INI101;12;12;Quantidade de Humanos Suscetiveis Bebe Feminino Aleatorio
INI102;0;0;Quantidade de Humanos Expostos Bebe Feminino Aleatorio
INI103;0;0;Quantidade de Humanos Infectados Bebe Feminino Aleatorio
INI104;0;0;Quantidade de Humanos Recuperados Bebe Feminino Aleatorio
INI105;5;5;Quantidade de Humanos Suscetiveis Bebe Feminino Livre
INI106;0;0;Quantidade de Humanos Expostos Bebe Feminino Livre
INI107;0;0;Quantidade de Humanos Infectados Bebe Feminino Livre
INI108;0;0;Quantidade de Humanos Recuperados Bebe Feminino Livre
INI109;22;22;Quantidade de Humanos Suscetiveis Bebe Feminino Trajeto
INI110;0;0;Quantidade de Humanos Expostos Bebe Feminino Trajeto
INI111;0;0;Quantidade de Humanos Infectados Bebe Feminino Trajeto
INI112;0;0;Quantidade de Humanos Recuperados Bebe Feminino Trajeto
INI113;83;83;Quantidade de Humanos Suscetiveis Crianca Feminino Local
INI114;0;0;Quantidade de Humanos Expostos Crianca Feminino Local
INI115;0;0;Quantidade de Humanos Infectados Crianca Feminino Local
INI116;0;0;Quantidade de Humanos Recuperados Crianca Feminino Local
INI117;68;68;Quantidade de Humanos Suscetiveis Crianca Feminino Aleatorio
INI118;0;0;Quantidade de Humanos Expostos Crianca Feminino Aleatorio
INI119;0;0;Quantidade de Humanos Infectados Crianca Feminino Aleatorio
INI120;0;0;Quantidade de Humanos Recuperados Crianca Feminino Aleatorio
INI121;29;29;Quantidade de Humanos Suscetiveis Crianca Feminino Livre
INI122;0;0;Quantidade de Humanos Expostos Crianca Feminino Livre
INI123;0;0;Quantidade de Humanos Infectados Crianca Feminino Livre
INI124;0;0;Quantidade de Humanos Recuperados Crianca Feminino Livre
INI125;47;47;Quantidade de Humanos Suscetiveis Crianca Feminino Trajeto
INI126;0;0;Quantidade de Humanos Expostos Crianca Feminino Trajeto
INI127;0;0;Quantidade de Humanos Infectados Crianca Feminino Trajeto
INI128;0;0;Quantidade de Humanos Recuperados Crianca Feminino Trajeto
INI129;29;29;Quantidade de Humanos Suscetiveis Adolescente Feminino Local
INI130;0;0;Quantidade de Humanos Expostos Adolescente Feminino Local
INI131;0;0;Quantidade de Humanos Infectados Adolescente Feminino Local
INI132;0;0;Quantidade de Humanos Recuperados Adolescente Feminino Local
INI133;27;27;Quantidade de Humanos Suscetiveis Adolescente Feminino Aleatorio
INI134;0;0;Quantidade de Humanos Expostos Adolescente Feminino Aleatorio
INI135;0;0;Quantidade de Humanos Infectados Adolescente Feminino Aleatorio
INI136;0;0;Quantidade de Humanos Recuperados Adolescente Feminino Aleatorio
INI137;16;16;Quantidade de Humanos Suscetiveis Adolescente Feminino Livre
INI138;0;0;Quantidade de Humanos Expostos Adolescente Feminino Livre
INI139;0;0;Quantidade de Humanos Infectados Adolescente Feminino Livre
INI140;0;0;Quantidade de Humanos Recuperados Adolescente Feminino Livre
INI141;16;16;Quantidade de Humanos Suscetiveis Adolescente Feminino Trajeto
INI142;0;0;Quantidade de Humanos Expostos Adolescente Feminino Trajeto
INI143;0;0;Quantidade de Humanos Infectados Adolescente Feminino Trajeto
INI144;0;0;Quantidade de Humanos Recuperados Adolescente Feminino Trajeto
INI145;93;93;Quantidade de Humanos Suscetiveis Jovem Feminino Local
INI146;0;0;Quantidade de Humanos Expostos Jovem Feminino Local
INI147;0;0;Quantidade de Humanos Infectados Jovem Feminino Local
INI148;0;0;Quantidade de Humanos Recuperados Jovem Feminino Local
INI149;157;157;Quantidade de Humanos Suscetiveis Jovem Feminino Aleatorio
INI150;0;0;Quantidade de Humanos Expostos Jovem Feminino Aleatorio
INI151;0;0;Quantidade de Humanos Infectados Jovem Feminino Aleatorio
INI152;0;0;Quantidade de Humanos Recuperados Jovem Feminino Aleatorio
INI153;50;50;Quantidade de Humanos Suscetiveis Jovem Feminino Livre
INI154;0;0;Quantidade de Humanos Expostos Jovem Feminino Livre
INI155;0;0;Quantidade de Humanos Infectados Jovem Feminino Livre
INI156;0;0;Quantidade de Humanos Recuperados Jovem Feminino Livre
INI157;57;57;Quantidade de Humanos Suscetiveis Jovem Feminino Trajeto
INI158;0;0;Quantidade de Humanos Expostos Jovem Feminino Trajeto
INI159;0;0;Quantidade de Humanos Infectados Jovem Feminino Trajeto
INI160;0;0;Quantidade de Humanos Recuperados Jovem Feminino Trajeto
INI161;192;192;Quantidade de Humanos Suscetiveis Adulto Feminino Local
INI162;0;0;Quantidade de Humanos Expostos Adulto Feminino Local
INI163;0;0;Quantidade de Humanos Infectados Adulto Feminino Local
INI164;0;0;Quantidade de Humanos Recuperados Adulto Feminino Local
INI165;244;244;Quantidade de Humanos Suscetiveis Adulto Feminino Aleatorio
INI166;0;0;Quantidade de Humanos Expostos Adulto Feminino Aleatorio
INI167;0;0;Quantidade de Humanos Infectados Adulto Feminino Aleatorio
INI168;0;0;Quantidade de Humanos Recuperados Adulto Feminino Aleatorio
INI169;106;106;Quantidade de Humanos Suscetiveis Adulto Feminino Livre
INI170;0;0;Quantidade de Humanos Expostos Adulto Feminino Livre
INI171;0;0;Quantidade de Humanos Infectados Adulto Feminino Livre
INI172;0;0;Quantidade de Humanos Recuperados Adulto Feminino Livre
INI173;126;126;Quantidade de Humanos Suscetiveis Adulto Feminino Trajeto
INI174;0;0;Quantidade de Humanos Expostos Adulto Feminino Trajeto
INI175;0;0;Quantidade de Humanos Infectados Adulto Feminino Trajeto
INI176;0;0;Quantidade de Humanos Recuperados Adulto Feminino Trajeto
INI177;59;59;Quantidade de Humanos Suscetiveis Idoso Feminino Local
INI178;0;0;Quantidade de Humanos Expostos Idoso Feminino Local
INI179;0;0;Quantidade de Humanos Infectados Idoso Feminino Local
INI180;0;0;Quantidade de Humanos Recuperados Idoso Feminino Local
INI181;59;59;Quantidade de Humanos Suscetiveis Idoso Feminino Aleatorio
INI182;0;0;Quantidade de Humanos Expostos Idoso Feminino Aleatorio
INI183;0;0;Quantidade de Humanos Infectados Idoso Feminino Aleatorio
INI184;0;0;Quantidade de Humanos Recuperados Idoso Feminino Aleatorio
INI185;19;19;Quantidade de Humanos Suscetiveis Idoso Feminino Livre
INI186;0;0;Quantidade de Humanos Expostos Idoso Feminino Livre
INI187;0;0;Quantidade de Humanos Infectados Idoso Feminino Livre
INI188;0;0;Quantidade de Humanos Recuperados Idoso Feminino Livre
INI189;19;19;Quantidade de Humanos Suscetiveis Idoso Feminino Trajeto
INI190;0;0;Quantidade de Humanos Expostos Idoso Feminino Trajeto
INI191;0;0;Quantidade de Humanos Infectados Idoso Feminino Trajeto
INI192;0;0;Quantidade de Humanos Recuperados Idoso Feminino Trajeto
INI193;0.00;0.00;Prob Distribuicao Inicial Humanos (p = aleatorio, 1 - p = caminhos)
INI194;0.01;0.03;Prob de Humano Assintomatico
INI195;2;2;Sorotipo Predominante
INI196;0.95;0.99;Prob do Sorotipo Predominante (1 - p = aleatorio)
